Question,Answer
What is enthalpy change (ΔH)?,The heat energy transferred between a system and its surroundings during a physical or chemical change at constant pressure.
What are standard conditions for enthalpy changes?,"100 kPa pressure and a temperature of 298 K (25°C), with substances in their standard states."
What is the sign of ΔH for exothermic reactions?,"Negative, because heat is released to the surroundings."
What is the sign of ΔH for endothermic reactions?,"Positive, because heat is absorbed from the surroundings."
What is the standard enthalpy change of combustion (ΔHc°)?,The enthalpy change when 1 mole of a substance is completely burned in oxygen under standard conditions.
What is the equation for calculating heat energy change (Q)?,"Q = mcΔT, where m = mass of water, c = specific heat capacity (4.18 J/g°C), and ΔT = temperature change."
What is the standard enthalpy change of neutralisation (ΔHn°)?,The enthalpy change when 1 mole of water is formed from the reaction of an acid with an alkali under standard conditions.
What is the standard enthalpy change of formation (ΔHf°)?,The enthalpy change when 1 mole of a compound is formed from its elements in their standard states under standard conditions.
What is Hess’s Law?,"The total enthalpy change for a reaction is the same, regardless of the route taken, as long as the initial and final conditions are the same."
How is Hess’s Law applied to formation reactions?,ΔHreaction = ΣΔHf°(products) - ΣΔHf°(reactants)
How is Hess’s Law applied to combustion data?,ΔHreaction = ΣΔHc°(reactants) - ΣΔHc°(products)
What is bond enthalpy (ΔHb)?,The energy required to break one mole of a specific bond in the gaseous state.
What is mean bond enthalpy?,"The average energy needed to break one mole of a bond, averaged over many compounds."
What is the formula for ΔH using bond enthalpies?,ΔH = Σ(bonds broken) - Σ(bonds formed)
Why might bond enthalpy calculations differ from experimental values?,Bond enthalpies are averages and apply to gas-phase reactions; actual values depend on molecular environment.
How can bond enthalpies predict reactivity?,"Bonds with low enthalpies break more easily, making reactions faster or more likely."
What is the standard enthalpy change of atomisation (ΔHat°)?,The enthalpy change when one mole of gaseous atoms is formed from the element in its standard state.
What is ΔHat° for C(s)?,+717 kJ mol⁻¹
What is ΔHat° for Na(s)?,+107 kJ mol⁻¹
What is ΔHat° for H₂(g)?,"+218 kJ mol⁻¹ (per mole of atoms, so H–H bond = 436 kJ mol⁻¹)"
What experimental method is used to measure ΔHc°?,Burning a known mass of liquid fuel under a copper can containing a known mass of water and measuring the temperature rise.
What experimental method is used to measure ΔHn°?,Mixing known volumes and concentrations of acid and alkali in a polystyrene cup and measuring temperature change.
What are two major sources of error in ΔHc° experiments?,Heat loss to surroundings and incomplete combustion of fuel.
Why are enthalpy of neutralisation values similar for strong acid/strong base reactions?,"Because the net ionic equation is always H⁺ + OH⁻ → H₂O, so ΔHn° is nearly constant."
What is a limitation of mean bond enthalpy use?,They cannot precisely predict enthalpy change when specific bond environments are unknown.
How can ΔH be determined using a calorimeter?,Measure temperature rise in a known mass of water and apply Q = mcΔT.
Why is the specific heat capacity of water important?,It allows calculation of Q (heat change) when water is used to absorb heat in calorimetry experiments.
How does a polystyrene cup help in enthalpy experiments?,"It acts as an insulator, reducing heat loss to the surroundings."
What is the unit of ΔH?,Kilojoules per mole (kJ mol⁻¹)
How is the enthalpy change for combustion of methanol calculated?,"Use Q = mcΔT to find energy released, divide by moles of methanol burned, and give ΔHc° as a negative value."
What is the mean bond enthalpy for a C–C bond?,347 kJ mol⁻¹
What is the mean bond enthalpy for an O=O bond?,498 kJ mol⁻¹
What is the mean bond enthalpy for an H–Cl bond?,432 kJ mol⁻¹
What is the mean bond enthalpy for a C=C bond?,612 kJ mol⁻¹
How can enthalpy cycles represent reactions?,"By connecting the reactants and products via alternative pathways involving known enthalpy changes, often from combustion or formation data."
What does a negative Q mean in enthalpy calculations?,The system has lost heat to the surroundings — an exothermic process.
Why is ΔH° for elements in their standard state always zero?,Because no energy is required to form an element from itself in its standard state.
What are examples of exothermic reactions?,"Combustion, neutralisation, condensation."
What are examples of endothermic reactions?,"Thermal decomposition, melting, evaporation."
"Explain the difference between an exothermic and an endothermic reaction in terms of energy transfer between the system and the surroundings. Provide one everyday example of each type of reaction.","An exothermic reaction releases heat to the surroundings, causing the temperature of the surroundings to increase (ΔH < 0). Burning wood is an example. An endothermic reaction absorbs heat from the surroundings, causing the temperature of the surroundings to decrease (ΔH > 0). Melting ice is an example."
"Define the term ""standard enthalpy change of combustion"" (ΔH°c). What are the standard conditions under which this value is typically measured?","The standard enthalpy change of combustion (ΔH°c) is the enthalpy change when one mole of a substance is completely burned in oxygen under standard conditions of 100 kPa pressure and a specified temperature of 298 K."
"Describe how an enthalpy level diagram visually represents the enthalpy change (ΔH) for a chemical reaction. How does the diagram differ for exothermic and endothermic processes?","An enthalpy level diagram shows the relative enthalpy of reactants and products. For an exothermic reaction, the products have lower enthalpy than the reactants, and the arrow showing ΔH points downwards. For an endothermic reaction, the products have higher enthalpy, and the arrow points upwards."
"State Hess's Law and explain its importance in thermochemical calculations. Give a brief example of how Hess's Law can be applied to find an unknown enthalpy change.","Hess's Law states that the total enthalpy change for a reaction is independent of the pathway taken. It is important because it allows us to calculate enthalpy changes for reactions that are difficult or impossible to measure directly by using enthalpy changes of other related reactions. For example, the enthalpy change of formation of carbon monoxide can be found using the enthalpy changes of combustion of carbon and carbon monoxide."
"What is the definition of the ""standard enthalpy change of formation"" (ΔH°f) of a compound? Why is the standard enthalpy change of formation of an element in its standard state equal to zero?","The standard enthalpy change of formation (ΔH°f) of a compound is the enthalpy change when one mole of the compound is formed from its elements in their standard states under standard conditions. The standard enthalpy change of formation of an element in its standard state is zero because there is no enthalpy change involved in forming an element from itself in its standard state."
"Explain the concept of bond enthalpy. Why are mean bond enthalpy values used in calculations rather than specific bond enthalpy values for individual molecules?","Bond enthalpy is the energy required to break one mole of a specific covalent bond in a gaseous molecule. Mean bond enthalpy values are used because the energy required to break a particular type of bond can vary slightly in different molecules due to variations in the molecular environment. Mean bond enthalpies provide an average value for that bond type."
"Describe a simple experimental method that could be used to determine the enthalpy change of a neutralisation reaction in the laboratory, mentioning the key measurements that need to be taken.","An experimental method involves reacting a known amount of acid with a known amount of alkali in an insulated container (calorimeter). The temperature change of the solution is measured, and this data, along with the specific heat capacity and mass of the solution, can be used to calculate the heat released or absorbed. This heat change, per mole of water formed, gives the enthalpy change of neutralisation."
"Identify two potential sources of error in a calorimetry experiment designed to measure the enthalpy change of a reaction in solution. Explain how each error could affect the calculated value of ΔH.","Two potential sources of error are heat loss to the surroundings and incomplete reaction. Heat loss would mean that not all the heat released in an exothermic reaction is measured, leading to a less negative (or more positive) value for ΔH. Incomplete reaction would mean that the calculated enthalpy change is based on a smaller amount of product formed than expected, leading to an inaccurate value per mole."
"Explain how the sign of the enthalpy change (ΔH) indicates whether a reaction is exothermic or endothermic. How does this relate to the stability of the products compared to the reactants?","A negative enthalpy change (ΔH < 0) indicates an exothermic reaction where energy is released, suggesting that the products are in a lower, more stable energy state than the reactants. A positive enthalpy change (ΔH > 0) indicates an endothermic reaction where energy is absorbed, suggesting that the products are in a higher, less stable energy state than the reactants."
"Describe how mean bond enthalpies can be used to estimate the enthalpy change of a gaseous reaction. What assumption is made when using this method?","Mean bond enthalpies can be used to estimate ΔH by summing the mean bond enthalpies of all the bonds broken in the reactants and subtracting the sum of the mean bond enthalpies of all the bonds formed in the products. This method assumes that all bonds of a particular type have the same enthalpy regardless of the molecule they are in and that the reaction occurs in the gaseous phase."
"1. What is enthalpy change (ΔH) and why is it important in chemical reactions?","Enthalpy change (ΔH) represents the heat energy exchanged between a system and its surroundings at constant pressure. It is crucial for understanding whether a reaction will release heat (exothermic, ΔH < 0) or absorb heat (endothermic, ΔH > 0). Knowing the enthalpy change helps predict the energy requirements or energy yield of a chemical process, which is vital in various applications like designing efficient combustion engines or industrial chemical syntheses. Standard enthalpy changes are measured under specified conditions (100 kPa and a specified temperature, usually 298 K) to provide a consistent basis for comparison."
"2. How do enthalpy level diagrams visually represent energy changes in reactions?","Enthalpy level diagrams are graphical representations that show the relative enthalpy of reactants and products in a chemical reaction. In an exothermic reaction, the products have lower enthalpy than the reactants, and the diagram shows a downward arrow indicating the release of energy (negative ΔH). Conversely, in an endothermic reaction, the products have higher enthalpy than the reactants, and the diagram shows an upward arrow indicating the absorption of energy (positive ΔH). These diagrams provide a clear visual understanding of the energy changes and the overall energy balance of a reaction."
"3. What is standard enthalpy change of combustion (ΔH°c) and how is it determined experimentally?","The standard enthalpy change of combustion (ΔH°c) is the enthalpy change when one mole of a substance is completely burned in oxygen under standard conditions (100 kPa and 298 K). It is typically determined experimentally using a calorimeter, where a known mass of the substance is combusted in a controlled environment. By measuring the temperature change of a known mass of water surrounding the reaction chamber, the heat released (or absorbed) can be calculated, and subsequently, the enthalpy change per mole of the substance can be determined."
"4. What is standard enthalpy change of neutralisation and how is it measured?","The standard enthalpy change of neutralisation is the enthalpy change when one mole of water is formed from the reaction of an acid with a base under standard conditions (100 kPa and 298 K). Experimentally, it is measured by mixing a known amount of acid and base solutions of known concentrations in a calorimeter. The temperature change of the solution is recorded, and the heat released (or absorbed) is calculated using the specific heat capacity and mass of the solution. This data is then used to determine the enthalpy change per mole of water formed in the neutralisation reaction."
"5. What is standard enthalpy change of formation (ΔH°f) and how can it be used?","The standard enthalpy change of formation (ΔH°f) is the enthalpy change when one mole of a compound is formed from its elements in their standard states under standard conditions (100 kPa and 298 K). The standard enthalpy change of formation of an element in its standard state is defined as zero. ΔH°f values are crucial because they can be used to calculate the standard enthalpy change for any reaction using Hess's Law. By summing the standard enthalpies of formation of the products (multiplied by their stoichiometric coefficients) and subtracting the sum of the standard enthalpies of formation of the reactants (multiplied by their stoichiometric coefficients), the overall enthalpy change of the reaction can be determined, even if the reaction cannot be easily measured directly."
"6. What is bond enthalpy and how can it be used to estimate enthalpy changes?","Bond enthalpy is the average energy required to break one mole of a specific type of covalent bond in gaseous molecules. Bond breaking is an endothermic process (energy is absorbed), while bond formation is exothermic (energy is released). While average bond enthalpies provide estimations and may not be perfectly accurate for every molecule due to variations in molecular environment, they can be used to estimate the enthalpy change of a reaction. The enthalpy change (ΔH) is approximated by the sum of the energies of the bonds broken in the reactants minus the sum of the energies of the bonds formed in the products: ΔH ≈ Σ(bond enthalpies of bonds broken) - Σ(bond enthalpies of bonds formed)."
"7. What is Hess's Law and how is it applied to calculate enthalpy changes of reactions that are difficult to measure directly?","Hess's Law states that the total enthalpy change for a reaction is independent of the pathway taken, provided that the initial and final conditions are the same. This law allows the calculation of enthalpy changes for reactions that are difficult or impossible to measure directly by using a series of reactions with known enthalpy changes that sum up to the overall reaction. By manipulating these known reactions (reversing them or multiplying them by coefficients) and their corresponding enthalpy changes, the enthalpy change for the target reaction can be determined."
"8. How are the concepts of energetics relevant to broader scientific and societal contexts?","The principles of energetics are fundamental to many scientific disciplines, including chemistry, physics, and biology. Understanding energy changes in chemical and physical processes is essential for developing new materials, designing more efficient energy conversion technologies (like batteries and fuel cells), and optimising industrial processes to reduce energy consumption and environmental impact. In a societal context, energetics plays a crucial role in addressing global challenges related to energy production, climate change, and sustainable development by providing the scientific basis for evaluating different energy sources and technologies."
